incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2021,814471,8,523.53,Mutual Aid Given - FRV
1/07/2021,814474,9,509,Other service call not classified (Public Service)
1/07/2021,814473,8,621,"Smoke scare, odour of smoke"
1/07/2021,814482,13,352.1,Vehicle accident-with injuries
1/07/2021,814476,13,701,Manual control point or break glass alarm activated
1/07/2021,814477,8,436,"Arcing, shorted electrical equipment"
1/07/2021,814478,6,529,"Assist other agencies, not classified"
1/07/2021,814481,8,523.53,Mutual Aid Given - FRV
1/07/2021,814479,8,523.53,Mutual Aid Given - FRV
1/07/2021,814484,8,121,"Foodstuffs burnt, confined to cooking equipment"
1/07/2021,814491,15,441,Chemical Hazard (no spill or leak)
1/07/2021,814486,7,609,Good intent call not classified
1/07/2021,814485,8,624,Controlled burning
1/07/2021,814489,2,352.1,Vehicle accident-with injuries
2/07/2021,814487,8,514,Unauthorised burning
2/07/2021,814488,5,134,"Transformer, power or utility vault, utility equipment fire and power pole fire"
2/07/2021,814492,12,514,Unauthorised burning
2/07/2021,814493,23,523.53,Mutual Aid Given - FRV
2/07/2021,814494,20,732,Smoke detector malfunction - monitored by fire service
2/07/2021,814495,8,523.53,Mutual Aid Given - FRV
2/07/2021,814497,14,352,Vehicle accident-no injuries
2/07/2021,814498,14,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2021,814501,11,352.1,Vehicle accident-with injuries
2/07/2021,1080536,13,521,Assist police or other governmental agency
2/07/2021,814499,8,352,Vehicle accident-no injuries
2/07/2021,814500,6,624,Controlled burning
2/07/2021,814502,14,523.53,Mutual Aid Given - FRV
2/07/2021,814530,14,523.53,Mutual Aid Given - FRV
2/07/2021,814503,15,523.53,Mutual Aid Given - FRV
2/07/2021,814504,8,523.53,Mutual Aid Given - FRV
2/07/2021,814505,15,759,Simulated condition; not classified above
2/07/2021,814508,10,331,Lock-in
2/07/2021,814507,8,331,Lock-in
2/07/2021,814506,13,523.53,Mutual Aid Given - FRV
2/07/2021,814509,7,513,Smoke or odour removal
2/07/2021,814510,17,529,"Assist other agencies, not classified"
2/07/2021,814511,6,621,"Smoke scare, odour of smoke"
2/07/2021,814513,8,523.53,Mutual Aid Given - FRV
2/07/2021,814512,8,523.53,Mutual Aid Given - FRV
2/07/2021,814514,8,700,False alarm or false call; insuff info to classify
2/07/2021,814516,13,412,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2021,814518,18,359,"Extrication, rescue not classified"
2/07/2021,814515,13,352.1,Vehicle accident-with injuries
2/07/2021,814517,8,523.53,Mutual Aid Given - FRV
2/07/2021,814519,11,352.1,Vehicle accident-with injuries
2/07/2021,814521,14,523.53,Mutual Aid Given - FRV
2/07/2021,814520,10,321,"EMS call, excluding vehicle accident with injury"
2/07/2021,814525,14,352.1,Vehicle accident-with injuries
2/07/2021,814522,8,352,Vehicle accident-no injuries
2/07/2021,814523,8,624,Controlled burning
2/07/2021,814524,8,523.53,Mutual Aid Given - FRV
2/07/2021,814526,8,709,False alarm or false call not classified
2/07/2021,814527,14,523.53,Mutual Aid Given - FRV
2/07/2021,814529,8,621,"Smoke scare, odour of smoke"
2/07/2021,814531,22,621,"Smoke scare, odour of smoke"
2/07/2021,814547,17,111,Fire damaging structure and contents
2/07/2021,814532,7,523.53,Mutual Aid Given - FRV
2/07/2021,814533,8,625,"Barbecue, hangi"
2/07/2021,814536,8,523.53,Mutual Aid Given - FRV
2/07/2021,814541,8,523.53,Mutual Aid Given - FRV
2/07/2021,814535,27,523.53,Mutual Aid Given - FRV
2/07/2021,814537,23,523.53,Mutual Aid Given - FRV
2/07/2021,814538,7,523.53,Mutual Aid Given - FRV
2/07/2021,814540,14,624,Controlled burning
2/07/2021,814546,15,112,Fire damaging structure only
2/07/2021,814539,7,921,Dispatched and cancelled en-route
2/07/2021,814543,8,172.3,Scrub or bush and grass mixture fire (one hectare or less)
2/07/2021,814548,8,122,Chimney or flue fire - confined
2/07/2021,814545,17,189,Outside refuse fire not classified
2/07/2021,814550,15,609,Good intent call not classified
2/07/2021,814549,12,138.3,"Outside cooking equipment fire, includes BBQ's, spit roaster, etc. for uncontrolled fires only"
2/07/2021,814551,15,521,Assist police or other governmental agency
2/07/2021,814552,13,523.53,Mutual Aid Given - FRV
2/07/2021,814553,6,624,Controlled burning
2/07/2021,814555,8,413,Oil or other combustible liquid spill
2/07/2021,814554,14,742,Smoke detector malfunction - local
2/07/2021,814556,8,523.53,Mutual Aid Given - FRV
2/07/2021,814558,8,352.1,Vehicle accident-with injuries
2/07/2021,814557,8,756,Cooking fumes - toast or foodstuffs etc
3/07/2021,814559,14,523.53,Mutual Aid Given - FRV
3/07/2021,814561,8,352.1,Vehicle accident-with injuries
3/07/2021,814560,22,435,Power line down
3/07/2021,814563,11,151,Passenger vehicle fire including buses
3/07/2021,1080537,14,523.53,Mutual Aid Given - FRV
3/07/2021,814564,11,609,Good intent call not classified
3/07/2021,814566,14,523.53,Mutual Aid Given - FRV
3/07/2021,814565,14,523.53,Mutual Aid Given - FRV
3/07/2021,814568,22,709,False alarm or false call not classified
3/07/2021,814569,8,921,Dispatched and cancelled en-route
3/07/2021,814570,13,309,Other Rescue Calls
3/07/2021,1080607,13,523.23,Mutual Aid Given - DELWP
3/07/2021,814571,8,352.1,Vehicle accident-with injuries
3/07/2021,814572,9,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
3/07/2021,814573,8,523.53,Mutual Aid Given - FRV
3/07/2021,814575,7,151,Passenger vehicle fire including buses
3/07/2021,814574,8,711,"Malicious, mischievous false alarm"
3/07/2021,814578,23,112,Fire damaging structure only
3/07/2021,814576,12,624,Controlled burning
3/07/2021,814577,15,758,"Simulated condition - caused by incense, candles, sparklers, smoke machine etc"
3/07/2021,814580,8,352,Vehicle accident-no injuries
3/07/2021,814579,7,709,False alarm or false call not classified
3/07/2021,814582,27,523.53,Mutual Aid Given - FRV
3/07/2021,814583,23,121,"Foodstuffs burnt, confined to cooking equipment"
3/07/2021,814581,8,921,Dispatched and cancelled en-route
3/07/2021,814646,18,352.1,Vehicle accident-with injuries
3/07/2021,814587,8,732,Smoke detector malfunction - monitored by fire service
3/07/2021,814585,7,523.53,Mutual Aid Given - FRV
3/07/2021,814584,7,523.53,Mutual Aid Given - FRV
3/07/2021,814586,11,609,Good intent call not classified
3/07/2021,814588,,523.53,Mutual Aid Given - FRV
3/07/2021,814593,14,523.53,Mutual Aid Given - FRV
3/07/2021,814589,15,523.53,Mutual Aid Given - FRV
3/07/2021,814591,13,181,"Abandoned outside rubbish, refuse or waste fire"
3/07/2021,814590,27,523.53,Mutual Aid Given - FRV
3/07/2021,814595,8,532,Flood
3/07/2021,814592,9,151,Passenger vehicle fire including buses
3/07/2021,814598,8,111,Fire damaging structure and contents
3/07/2021,814597,15,181,"Abandoned outside rubbish, refuse or waste fire"
3/07/2021,814594,14,523.53,Mutual Aid Given - FRV
3/07/2021,814596,8,523.53,Mutual Aid Given - FRV
3/07/2021,814622,8,521,Assist police or other governmental agency
3/07/2021,814606,13,701,Manual control point or break glass alarm activated
3/07/2021,814599,23,352.1,Vehicle accident-with injuries
3/07/2021,814603,7,523.53,Mutual Aid Given - FRV
3/07/2021,814601,8,359,"Extrication, rescue not classified"
3/07/2021,814602,8,514,Unauthorised burning
3/07/2021,814607,8,523.53,Mutual Aid Given - FRV
3/07/2021,814604,23,523.53,Mutual Aid Given - FRV
3/07/2021,814620,9,521,Assist police or other governmental agency
3/07/2021,814605,7,523.53,Mutual Aid Given - FRV
3/07/2021,814611,8,523.53,Mutual Aid Given - FRV
3/07/2021,814608,14,523.53,Mutual Aid Given - FRV
3/07/2021,814610,24,766,"Alarm activation due to poor building maintenance such as dust, cobwebs etc"
3/07/2021,814630,24,921,Dispatched and cancelled en-route
3/07/2021,814631,14,523.53,Mutual Aid Given - FRV
3/07/2021,814613,8,413,Oil or other combustible liquid spill
3/07/2021,814609,14,523.53,Mutual Aid Given - FRV
3/07/2021,814615,8,523.53,Mutual Aid Given - FRV
3/07/2021,814618,8,523.53,Mutual Aid Given - FRV
3/07/2021,814617,22,621,"Smoke scare, odour of smoke"
3/07/2021,814616,13,331,Lock-in
3/07/2021,814614,8,624,Controlled burning
3/07/2021,814619,8,523.53,Mutual Aid Given - FRV
3/07/2021,814621,8,621,"Smoke scare, odour of smoke"
3/07/2021,814624,14,352,Vehicle accident-no injuries
3/07/2021,814667,8,523.53,Mutual Aid Given - FRV
3/07/2021,814623,18,621,"Smoke scare, odour of smoke"
3/07/2021,814625,27,624,Controlled burning
3/07/2021,814640,7,523.53,Mutual Aid Given - FRV
3/07/2021,814626,20,109,Fire or explosion not classified
3/07/2021,814627,14,523.53,Mutual Aid Given - FRV
3/07/2021,814629,24,732,Smoke detector malfunction - monitored by fire service
3/07/2021,814632,16,624,Controlled burning
3/07/2021,814628,7,523.53,Mutual Aid Given - FRV
3/07/2021,814633,10,122,Chimney or flue fire - confined
3/07/2021,814634,22,523.53,Mutual Aid Given - FRV
3/07/2021,814635,10,113,Fire damaging contents only
3/07/2021,814637,13,412,"Odour or gas, gas leak, (domestic or LPG)"
3/07/2021,814638,14,431,"Excessive heat, overheat, scorch burns with no ignition"
3/07/2021,814636,12,197,Explosion with ensuing fire
3/07/2021,814642,18,352,Vehicle accident-no injuries
3/07/2021,814639,2,733,Heat detector malfunction - monitored by fire service
3/07/2021,814643,12,151,Passenger vehicle fire including buses
3/07/2021,814641,17,621,"Smoke scare, odour of smoke"
4/07/2021,814644,15,770,Fire indicator panel; insuff info to classify
4/07/2021,814659,14,352.1,Vehicle accident-with injuries
4/07/2021,814645,14,181,"Abandoned outside rubbish, refuse or waste fire"
4/07/2021,814651,13,523.53,Mutual Aid Given - FRV
4/07/2021,814648,8,523.53,Mutual Aid Given - FRV
4/07/2021,814649,8,709,False alarm or false call not classified
4/07/2021,814650,2,711,"Malicious, mischievous false alarm"
4/07/2021,814652,24,112,Fire damaging structure only
4/07/2021,814654,8,523.53,Mutual Aid Given - FRV
4/07/2021,814653,18,624,Controlled burning
4/07/2021,814655,8,352,Vehicle accident-no injuries
4/07/2021,814656,23,523.53,Mutual Aid Given - FRV
4/07/2021,814657,15,352,Vehicle accident-no injuries
4/07/2021,814658,13,921,Dispatched and cancelled en-route
4/07/2021,814660,15,624,Controlled burning
4/07/2021,814665,24,352,Vehicle accident-no injuries
4/07/2021,814662,17,180,Outside refuse fire; insuff info to classify
4/07/2021,814661,13,624,Controlled burning
4/07/2021,814663,20,321,"EMS call, excluding vehicle accident with injury"
4/07/2021,814674,18,189,Outside refuse fire not classified
4/07/2021,814664,20,134,"Transformer, power or utility vault, utility equipment fire and power pole fire"
4/07/2021,814666,14,181,"Abandoned outside rubbish, refuse or waste fire"
4/07/2021,814668,14,350,"Extrication, rescue; insuff info to classify"
4/07/2021,814670,10,172.3,Scrub or bush and grass mixture fire (one hectare or less)
4/07/2021,814676,8,352,Vehicle accident-no injuries
4/07/2021,814675,13,151,Passenger vehicle fire including buses
4/07/2021,814673,11,514,Unauthorised burning
4/07/2021,814677,10,352,Vehicle accident-no injuries
4/07/2021,814696,9,352.1,Vehicle accident-with injuries
4/07/2021,814679,15,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2021,814685,8,523.53,Mutual Aid Given - FRV
4/07/2021,814688,22,523.53,Mutual Aid Given - FRV
4/07/2021,814755,15,921,Dispatched and cancelled en-route
4/07/2021,814683,9,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2021,814678,8,701,Manual control point or break glass alarm activated
4/07/2021,814681,9,756,Cooking fumes - toast or foodstuffs etc
4/07/2021,814680,14,523.53,Mutual Aid Given - FRV
4/07/2021,814682,8,352,Vehicle accident-no injuries
4/07/2021,814686,13,352,Vehicle accident-no injuries
4/07/2021,814781,6,129,Fire in building confined within non-combustible container with no other flame damage not classified
4/07/2021,814687,8,523.53,Mutual Aid Given - FRV
4/07/2021,814689,2,621,"Smoke scare, odour of smoke"
4/07/2021,814693,11,172.3,Scrub or bush and grass mixture fire (one hectare or less)
4/07/2021,814690,16,122,Chimney or flue fire - confined
4/07/2021,814695,14,523.53,Mutual Aid Given - FRV
4/07/2021,814691,2,732,Smoke detector malfunction - monitored by fire service
4/07/2021,814692,23,762,Accidental operation of alarm
4/07/2021,814698,8,352,Vehicle accident-no injuries
4/07/2021,814701,8,112,Fire damaging structure only
4/07/2021,814694,14,181,"Abandoned outside rubbish, refuse or waste fire"
4/07/2021,814708,14,523.53,Mutual Aid Given - FRV
4/07/2021,814697,7,523.53,Mutual Aid Given - FRV
4/07/2021,814700,14,352,Vehicle accident-no injuries
4/07/2021,814699,2,624,Controlled burning
4/07/2021,814707,15,921,Dispatched and cancelled en-route
4/07/2021,814702,10,181,"Abandoned outside rubbish, refuse or waste fire"
4/07/2021,814710,14,523.53,Mutual Aid Given - FRV
4/07/2021,814703,8,352,Vehicle accident-no injuries
4/07/2021,814705,27,122,Chimney or flue fire - confined
4/07/2021,814704,8,523.53,Mutual Aid Given - FRV
4/07/2021,814706,8,523.53,Mutual Aid Given - FRV
4/07/2021,814709,8,523.53,Mutual Aid Given - FRV
4/07/2021,814712,14,352.1,Vehicle accident-with injuries
4/07/2021,814715,22,352,Vehicle accident-no injuries
4/07/2021,814711,14,523.53,Mutual Aid Given - FRV
4/07/2021,814714,13,412,"Odour or gas, gas leak, (domestic or LPG)"
4/07/2021,814718,20,436,"Arcing, shorted electrical equipment"
4/07/2021,814713,14,609,Good intent call not classified
4/07/2021,814717,23,523.53,Mutual Aid Given - FRV
4/07/2021,814716,18,,
4/07/2021,814720,23,523.53,Mutual Aid Given - FRV
4/07/2021,814719,4,523.53,Mutual Aid Given - FRV
4/07/2021,814721,22,523.53,Mutual Aid Given - FRV
4/07/2021,814722,7,523.53,Mutual Aid Given - FRV
4/07/2021,814723,13,513,Smoke or odour removal
4/07/2021,814725,13,523.53,Mutual Aid Given - FRV
4/07/2021,814724,24,921,Dispatched and cancelled en-route
5/07/2021,814728,7,151,Passenger vehicle fire including buses
5/07/2021,814729,14,622,"Steam vapour, fog or dust thought to be smoke"
5/07/2021,814730,14,523.53,Mutual Aid Given - FRV
5/07/2021,814731,24,523.53,Mutual Aid Given - FRV
5/07/2021,814732,7,733,Heat detector malfunction - monitored by fire service
5/07/2021,814733,7,621,"Smoke scare, odour of smoke"
5/07/2021,814734,13,113,Fire damaging contents only
5/07/2021,814737,14,523.53,Mutual Aid Given - FRV
5/07/2021,814736,14,523.53,Mutual Aid Given - FRV
5/07/2021,814742,14,523.53,Mutual Aid Given - FRV
5/07/2021,814739,9,111,Fire damaging structure and contents
5/07/2021,814738,8,523.53,Mutual Aid Given - FRV
5/07/2021,814740,27,523.53,Mutual Aid Given - FRV
5/07/2021,814750,8,352.1,Vehicle accident-with injuries
5/07/2021,814746,8,732,Smoke detector malfunction - monitored by fire service
5/07/2021,814745,2,760,Unintentional alarm - not involving a malfunction; insuff info to classify
5/07/2021,814744,8,,
5/07/2021,814753,8,352,Vehicle accident-no injuries
5/07/2021,814749,15,742,Smoke detector malfunction - local
5/07/2021,814748,12,331,Lock-in
5/07/2021,814754,14,412,"Odour or gas, gas leak, (domestic or LPG)"
5/07/2021,814751,8,768,"Alarm activation due to steam, sauna, steam room"
5/07/2021,814752,8,352,Vehicle accident-no injuries
5/07/2021,814759,13,732,Smoke detector malfunction - monitored by fire service
5/07/2021,814774,23,111,Fire damaging structure and contents
5/07/2021,814758,7,523.53,Mutual Aid Given - FRV
5/07/2021,814760,2,352,Vehicle accident-no injuries
5/07/2021,814757,17,621,"Smoke scare, odour of smoke"
5/07/2021,814761,8,700,False alarm or false call; insuff info to classify
5/07/2021,814764,16,731,Sprinkler malfunction - monitored by fire service
5/07/2021,814762,7,331,Lock-in
5/07/2021,814763,7,512,"Water or steam leak, (includes open hydrants)"
5/07/2021,814765,14,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
5/07/2021,814767,14,523.53,Mutual Aid Given - FRV
5/07/2021,814768,14,523.53,Mutual Aid Given - FRV
5/07/2021,814769,9,765,Alarm activation due to workmen or occupier activities
5/07/2021,814766,8,523.53,Mutual Aid Given - FRV
5/07/2021,814773,5,766,"Alarm activation due to poor building maintenance such as dust, cobwebs etc"
5/07/2021,814770,22,523.53,Mutual Aid Given - FRV
5/07/2021,814772,2,113,Fire damaging contents only
5/07/2021,814775,13,352.1,Vehicle accident-with injuries
5/07/2021,814771,7,523.53,Mutual Aid Given - FRV
5/07/2021,814776,27,624,Controlled burning
5/07/2021,814778,6,762,Accidental operation of alarm
5/07/2021,814777,16,624,Controlled burning
5/07/2021,814779,8,624,Controlled burning
5/07/2021,814780,10,121,"Foodstuffs burnt, confined to cooking equipment"
5/07/2021,814783,15,624,Controlled burning
5/07/2021,814782,13,709,False alarm or false call not classified
5/07/2021,814784,7,523.53,Mutual Aid Given - FRV
5/07/2021,814785,9,352,Vehicle accident-no injuries
5/07/2021,814786,9,611,Wrong location
5/07/2021,814787,9,352.1,Vehicle accident-with injuries
5/07/2021,814788,8,523.53,Mutual Aid Given - FRV
5/07/2021,814802,18,122,Chimney or flue fire - confined
5/07/2021,814791,8,122,Chimney or flue fire - confined
5/07/2021,814789,13,352,Vehicle accident-no injuries
5/07/2021,814792,8,523.53,Mutual Aid Given - FRV
5/07/2021,814796,12,352,Vehicle accident-no injuries
5/07/2021,814790,15,624,Controlled burning
5/07/2021,814793,8,732,Smoke detector malfunction - monitored by fire service
5/07/2021,814794,8,523.53,Mutual Aid Given - FRV
5/07/2021,814795,13,765,Alarm activation due to workmen or occupier activities
5/07/2021,814798,8,523.53,Mutual Aid Given - FRV
5/07/2021,814800,14,523.53,Mutual Aid Given - FRV
5/07/2021,814804,22,181,"Abandoned outside rubbish, refuse or waste fire"
5/07/2021,814797,20,701,Manual control point or break glass alarm activated
5/07/2021,814799,8,523.53,Mutual Aid Given - FRV
5/07/2021,814801,22,523.53,Mutual Aid Given - FRV
5/07/2021,814803,14,523.53,Mutual Aid Given - FRV
5/07/2021,814805,14,523.53,Mutual Aid Given - FRV
5/07/2021,814807,22,621,"Smoke scare, odour of smoke"
5/07/2021,814808,9,921,Dispatched and cancelled en-route
5/07/2021,814806,8,523.53,Mutual Aid Given - FRV
6/07/2021,814809,14,523.53,Mutual Aid Given - FRV
6/07/2021,814817,11,113,Fire damaging contents only
6/07/2021,814810,16,151,Passenger vehicle fire including buses
6/07/2021,814811,8,523.53,Mutual Aid Given - FRV
6/07/2021,814812,14,331,Lock-in
6/07/2021,814815,8,352,Vehicle accident-no injuries
6/07/2021,814813,8,732,Smoke detector malfunction - monitored by fire service
6/07/2021,814814,8,514,Unauthorised burning
6/07/2021,814816,27,523.53,Mutual Aid Given - FRV
6/07/2021,814823,8,352.1,Vehicle accident-with injuries
6/07/2021,814818,7,756,Cooking fumes - toast or foodstuffs etc
6/07/2021,814819,14,151,Passenger vehicle fire including buses
6/07/2021,814821,18,624,Controlled burning
6/07/2021,814822,2,352.1,Vehicle accident-with injuries
6/07/2021,814820,8,523.53,Mutual Aid Given - FRV
6/07/2021,814824,14,523.53,Mutual Aid Given - FRV
6/07/2021,814825,10,121,"Foodstuffs burnt, confined to cooking equipment"
6/07/2021,814826,7,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
6/07/2021,814827,8,523.53,Mutual Aid Given - FRV
6/07/2021,814828,13,765,Alarm activation due to workmen or occupier activities
6/07/2021,814830,8,352,Vehicle accident-no injuries
6/07/2021,814832,14,523.53,Mutual Aid Given - FRV
6/07/2021,814831,13,331,Lock-in
6/07/2021,814833,24,732,Smoke detector malfunction - monitored by fire service
6/07/2021,814839,8,523.53,Mutual Aid Given - FRV
6/07/2021,814834,14,523.53,Mutual Aid Given - FRV
6/07/2021,814841,12,412,"Odour or gas, gas leak, (domestic or LPG)"
6/07/2021,814835,20,122,Chimney or flue fire - confined
6/07/2021,814837,24,732,Smoke detector malfunction - monitored by fire service
6/07/2021,814836,14,523.53,Mutual Aid Given - FRV
6/07/2021,814838,15,523.53,Mutual Aid Given - FRV
6/07/2021,814842,8,709,False alarm or false call not classified
6/07/2021,814844,14,,
6/07/2021,814843,18,523.53,Mutual Aid Given - FRV
6/07/2021,814845,15,624,Controlled burning
6/07/2021,814847,7,523.53,Mutual Aid Given - FRV
6/07/2021,814857,8,413,Oil or other combustible liquid spill
6/07/2021,814848,6,732,Smoke detector malfunction - monitored by fire service
6/07/2021,814846,14,514,Unauthorised burning
6/07/2021,814851,8,189,Outside refuse fire not classified
6/07/2021,814850,8,523.53,Mutual Aid Given - FRV
6/07/2021,814853,9,732,Smoke detector malfunction - monitored by fire service
6/07/2021,814849,8,624,Controlled burning
6/07/2021,814856,13,765,Alarm activation due to workmen or occupier activities
6/07/2021,814855,5,134,"Transformer, power or utility vault, utility equipment fire and power pole fire"
6/07/2021,814852,24,768,"Alarm activation due to steam, sauna, steam room"
6/07/2021,814854,14,129,Fire in building confined within non-combustible container with no other flame damage not classified
6/07/2021,814858,8,624,Controlled burning
6/07/2021,814859,15,623,Alarm sounded - no evidence of fire
6/07/2021,814860,8,523.53,Mutual Aid Given - FRV
6/07/2021,814865,15,151,Passenger vehicle fire including buses
6/07/2021,814861,10,701,Manual control point or break glass alarm activated
6/07/2021,814862,8,600,Good intent call; insuff info to classify
6/07/2021,814864,14,332.3,Lock-out
6/07/2021,814863,7,523.53,Mutual Aid Given - FRV
6/07/2021,814866,15,759,Simulated condition; not classified above
6/07/2021,814882,14,523.53,Mutual Aid Given - FRV
6/07/2021,814867,14,332.3,Lock-out
7/07/2021,814868,14,352,Vehicle accident-no injuries
7/07/2021,814869,20,151,Passenger vehicle fire including buses
7/07/2021,814870,8,523.53,Mutual Aid Given - FRV
7/07/2021,814871,8,151,Passenger vehicle fire including buses
7/07/2021,814872,22,,
7/07/2021,814965,8,111,Fire damaging structure and contents
7/07/2021,814873,12,352.1,Vehicle accident-with injuries
7/07/2021,814874,14,523.53,Mutual Aid Given - FRV
7/07/2021,814875,13,623,Alarm sounded - no evidence of fire
7/07/2021,814877,14,352.1,Vehicle accident-with injuries
7/07/2021,814880,13,529,"Assist other agencies, not classified"
7/07/2021,814879,14,621,"Smoke scare, odour of smoke"
7/07/2021,814878,2,331,Lock-in
7/07/2021,814884,10,756,Cooking fumes - toast or foodstuffs etc
7/07/2021,814883,20,412,"Odour or gas, gas leak, (domestic or LPG)"
7/07/2021,814885,22,523.53,Mutual Aid Given - FRV
7/07/2021,814889,8,523.53,Mutual Aid Given - FRV
7/07/2021,814886,15,181,"Abandoned outside rubbish, refuse or waste fire"
7/07/2021,814887,12,624,Controlled burning
7/07/2021,814888,2,609,Good intent call not classified
7/07/2021,814890,13,352,Vehicle accident-no injuries
7/07/2021,814891,7,523.53,Mutual Aid Given - FRV
7/07/2021,814894,11,352,Vehicle accident-no injuries
7/07/2021,814895,8,700,False alarm or false call; insuff info to classify
