incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2018,686185,6,623.00,Alarm sounded - no evidence of fire
1/07/2018,686213,9,521.00,Assist police or other governmental agency
1/07/2018,686188,8,769.00,Unintentional alarm - not involving a malfunction not classified
1/07/2018,686187,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686189,8,621.00,"Smoke scare, odour of smoke"
1/07/2018,686190,8,522.00,Police matter
1/07/2018,686192,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686195,6,NULL,NULL
1/07/2018,686194,14,184.00,Dumpster or other outside trash receptacle fire
1/07/2018,686197,15,151.00,Passenger vehicle fire including buses
1/07/2018,686193,7,711.00,"Malicious, mischievous false alarm"
1/07/2018,686196,7,0.00,Type of incident undetermined
1/07/2018,686198,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686200,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686204,13,742.00,Smoke detector malfunction - local
1/07/2018,686201,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2018,686203,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686202,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686244,2,111.00,Fire damaging structure and contents
1/07/2018,686214,5,735.00,Smoke detector malfunction - privately monitored
1/07/2018,686205,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686206,9,623.00,Alarm sounded - no evidence of fire
1/07/2018,686208,8,701.00,Manual control point or break glass alarm activated
1/07/2018,686209,8,176.30,"Cultivated trees or nursery stock fire, including hedges (one hectare or less)"
1/07/2018,686207,8,624.00,Controlled burning
1/07/2018,686211,23,768.00,"Alarm activation due to steam, sauna, steam room"
1/07/2018,686210,13,711.00,"Malicious, mischievous false alarm"
1/07/2018,686212,14,189.00,Outside refuse fire not classified
1/07/2018,686216,9,509.00,Other service call not classified (Public Service)
1/07/2018,686215,8,600.00,Good intent call; insuff info to classify
1/07/2018,686220,8,352.10,Vehicle accident-with injuries
1/07/2018,686219,14,111.00,Fire damaging structure and contents
1/07/2018,686217,15,623.00,Alarm sounded - no evidence of fire
1/07/2018,686218,18,621.00,"Smoke scare, odour of smoke"
1/07/2018,686230,23,352.10,Vehicle accident-with injuries
1/07/2018,686221,8,351.00,Extrications of victim(s) from mobile property
1/07/2018,686225,8,352.00,Vehicle accident-no injuries
1/07/2018,686224,9,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686223,20,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2018,686222,8,621.00,"Smoke scare, odour of smoke"
1/07/2018,686226,8,621.00,"Smoke scare, odour of smoke"
1/07/2018,686227,9,624.00,Controlled burning
1/07/2018,686233,8,111.00,Fire damaging structure and contents
1/07/2018,686231,2,621.00,"Smoke scare, odour of smoke"
1/07/2018,686229,7,742.00,Smoke detector malfunction - local
1/07/2018,686228,7,621.00,"Smoke scare, odour of smoke"
1/07/2018,686234,14,621.00,"Smoke scare, odour of smoke"
1/07/2018,686232,7,151.00,Passenger vehicle fire including buses
1/07/2018,686238,5,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2018,686263,12,352.00,Vehicle accident-no injuries
1/07/2018,686236,8,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2018,686235,14,624.00,Controlled burning
1/07/2018,686251,7,111.00,Fire damaging structure and contents
1/07/2018,686239,14,624.00,Controlled burning
1/07/2018,686242,13,709.00,False alarm or false call not classified
1/07/2018,686245,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686237,14,350.00,"Extrication, rescue; insuff info to classify"
1/07/2018,686240,7,735.00,Smoke detector malfunction - privately monitored
1/07/2018,686241,14,609.00,Good intent call not classified
1/07/2018,686243,8,412.00,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2018,686252,8,352.00,Vehicle accident-no injuries
1/07/2018,686246,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686253,27,151.00,Passenger vehicle fire including buses
1/07/2018,686247,8,184.00,Dumpster or other outside trash receptacle fire
1/07/2018,686248,17,709.00,False alarm or false call not classified
1/07/2018,686254,8,151.00,Passenger vehicle fire including buses
1/07/2018,686249,14,331.00,Lock-in
1/07/2018,686250,6,621.00,"Smoke scare, odour of smoke"
1/07/2018,686258,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686257,14,756.00,Cooking fumes - toast or foodstuffs etc
1/07/2018,686260,17,134.00,"Transformer, power or utility vault, utility equipment fire and power pole fire"
1/07/2018,686255,13,625.00,"Barbecue, hangi"
1/07/2018,686256,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686266,14,331.00,Lock-in
1/07/2018,686267,18,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2018,686262,14,184.00,Dumpster or other outside trash receptacle fire
1/07/2018,686261,24,756.00,Cooking fumes - toast or foodstuffs etc
1/07/2018,686259,4,412.00,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2018,686264,17,709.00,False alarm or false call not classified
1/07/2018,686265,8,621.00,"Smoke scare, odour of smoke"
1/07/2018,686268,7,709.00,False alarm or false call not classified
1/07/2018,686270,14,151.00,Passenger vehicle fire including buses
1/07/2018,686269,23,742.00,Smoke detector malfunction - local
1/07/2018,686271,13,509.00,Other service call not classified (Public Service)
1/07/2018,686272,27,352.10,Vehicle accident-with injuries
1/07/2018,686281,11,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2018,686273,13,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686274,8,413.00,Oil or other combustible liquid spill
1/07/2018,686276,22,509.00,Other service call not classified (Public Service)
1/07/2018,686275,2,609.00,Good intent call not classified
1/07/2018,686277,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686279,18,621.00,"Smoke scare, odour of smoke"
1/07/2018,686278,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686280,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686282,14,621.00,"Smoke scare, odour of smoke"
1/07/2018,686283,14,151.00,Passenger vehicle fire including buses
2/07/2018,686285,9,134.00,"Transformer, power or utility vault, utility equipment fire and power pole fire"
2/07/2018,686286,14,151.00,Passenger vehicle fire including buses
2/07/2018,686284,7,742.00,Smoke detector malfunction - local
2/07/2018,686287,7,151.00,Passenger vehicle fire including buses
2/07/2018,686288,8,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2018,686289,8,184.00,Dumpster or other outside trash receptacle fire
2/07/2018,686290,22,732.00,Smoke detector malfunction - monitored by fire service
2/07/2018,686291,8,732.00,Smoke detector malfunction - monitored by fire service
2/07/2018,686356,15,111.00,Fire damaging structure and contents
2/07/2018,686292,8,181.00,"Abandoned outside rubbish, refuse or waste fire"
2/07/2018,686293,8,184.00,Dumpster or other outside trash receptacle fire
2/07/2018,686294,8,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686295,13,151.00,Passenger vehicle fire including buses
2/07/2018,686297,23,332.30,Lock-out
2/07/2018,686298,14,352.10,Vehicle accident-with injuries
2/07/2018,686296,24,109.00,Fire or explosion not classified
2/07/2018,686299,13,621.00,"Smoke scare, odour of smoke"
2/07/2018,686300,16,352.10,Vehicle accident-with injuries
2/07/2018,686308,22,179.00,Vegetation or other outside fire (One hectare or less) not classified
2/07/2018,686303,13,352.00,Vehicle accident-no injuries
2/07/2018,686302,14,120.00,Fire in building confined within non-combustible container with no other flame damage; insuff info to classify
2/07/2018,686301,14,700.00,False alarm or false call; insuff info to classify
2/07/2018,686310,14,352.00,Vehicle accident-no injuries
2/07/2018,686309,14,765.00,Alarm activation due to workmen or occupier activities
2/07/2018,686304,8,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686305,22,151.00,Passenger vehicle fire including buses
2/07/2018,686306,5,609.00,Good intent call not classified
2/07/2018,686307,13,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686311,8,436.00,"Arcing, shorted electrical equipment"
2/07/2018,686312,8,107.20,"Wood chip / mulch fire - Roadside, median strip, playground etc. (for bulk storage - use 141)"
2/07/2018,686314,8,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2018,686313,18,151.00,Passenger vehicle fire including buses
2/07/2018,686316,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2018,686318,8,764.00,Incorrect test by service or company personnel
2/07/2018,686315,2,765.00,Alarm activation due to workmen or occupier activities
2/07/2018,686320,20,138.30,"Outside cooking equipment fire, includes BBQ's, spit roaster, etc. for uncontrolled fires only"
2/07/2018,686317,8,609.00,Good intent call not classified
2/07/2018,686319,5,331.00,Lock-in
2/07/2018,686322,8,352.10,Vehicle accident-with injuries
2/07/2018,686326,2,756.00,Cooking fumes - toast or foodstuffs etc
2/07/2018,686324,8,765.00,Alarm activation due to workmen or occupier activities
2/07/2018,686321,27,765.00,Alarm activation due to workmen or occupier activities
2/07/2018,686323,15,624.00,Controlled burning
2/07/2018,686325,8,621.00,"Smoke scare, odour of smoke"
2/07/2018,686335,22,151.00,Passenger vehicle fire including buses
2/07/2018,686329,14,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2018,686331,15,352.10,Vehicle accident-with injuries
2/07/2018,686328,8,447.00,Carbon monoxide incident
2/07/2018,686327,14,621.00,"Smoke scare, odour of smoke"
2/07/2018,686330,8,700.00,False alarm or false call; insuff info to classify
2/07/2018,686332,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2018,686334,14,189.00,Outside refuse fire not classified
2/07/2018,686333,15,331.00,Lock-in
2/07/2018,686338,8,352.10,Vehicle accident-with injuries
2/07/2018,686337,27,352.00,Vehicle accident-no injuries
2/07/2018,686339,14,738.00,"Alarm system malfunction - flat battery, fault in wiring, alarm panel, inadequate maintenance"
2/07/2018,686340,22,701.00,Manual control point or break glass alarm activated
2/07/2018,686336,8,331.00,Lock-in
2/07/2018,686341,13,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2018,686345,14,352.00,Vehicle accident-no injuries
2/07/2018,686351,24,700.00,False alarm or false call; insuff info to classify
2/07/2018,686343,7,768.00,"Alarm activation due to steam, sauna, steam room"
2/07/2018,686342,13,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686344,8,621.00,"Smoke scare, odour of smoke"
2/07/2018,686346,8,413.00,Oil or other combustible liquid spill
2/07/2018,686347,8,431.00,"Excessive heat, overheat, scorch burns with no ignition"
2/07/2018,686349,8,181.00,"Abandoned outside rubbish, refuse or waste fire"
2/07/2018,686348,22,331.00,Lock-in
2/07/2018,686350,16,701.00,Manual control point or break glass alarm activated
2/07/2018,686353,8,352.10,Vehicle accident-with injuries
2/07/2018,686352,8,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686363,24,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2018,686355,8,514.00,Unauthorised burning
2/07/2018,686358,18,351.00,Extrications of victim(s) from mobile property
2/07/2018,686357,12,151.00,Passenger vehicle fire including buses
2/07/2018,686361,15,352.00,Vehicle accident-no injuries
2/07/2018,686354,15,624.00,Controlled burning
2/07/2018,686360,8,768.00,"Alarm activation due to steam, sauna, steam room"
2/07/2018,686362,27,514.00,Unauthorised burning
2/07/2018,686359,11,768.00,"Alarm activation due to steam, sauna, steam room"
2/07/2018,686365,14,625.00,"Barbecue, hangi"
2/07/2018,686364,8,331.00,Lock-in
2/07/2018,686366,15,624.00,Controlled burning
2/07/2018,686369,13,352.10,Vehicle accident-with injuries
2/07/2018,686368,2,624.00,Controlled burning
2/07/2018,686367,8,181.00,"Abandoned outside rubbish, refuse or waste fire"
2/07/2018,686370,7,352.00,Vehicle accident-no injuries
2/07/2018,686371,NULL,709.00,False alarm or false call not classified
2/07/2018,686373,13,134.00,"Transformer, power or utility vault, utility equipment fire and power pole fire"
2/07/2018,686376,6,123.00,Incinerator fire - confined
2/07/2018,686386,27,181.00,"Abandoned outside rubbish, refuse or waste fire"
2/07/2018,686377,9,122.00,Chimney or flue fire - confined
2/07/2018,686372,8,509.00,Other service call not classified (Public Service)
2/07/2018,686374,14,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686375,2,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2018,686379,15,609.00,Good intent call not classified
2/07/2018,686381,15,122.00,Chimney or flue fire - confined
2/07/2018,686380,8,514.00,Unauthorised burning
2/07/2018,686378,8,109.00,Fire or explosion not classified
2/07/2018,686387,22,621.00,"Smoke scare, odour of smoke"
2/07/2018,686383,12,609.00,Good intent call not classified
2/07/2018,686382,8,514.00,Unauthorised burning
2/07/2018,686385,14,709.00,False alarm or false call not classified
2/07/2018,686384,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
2/07/2018,686388,8,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686389,24,184.00,Dumpster or other outside trash receptacle fire
2/07/2018,686392,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
2/07/2018,686390,27,621.00,"Smoke scare, odour of smoke"
2/07/2018,686396,27,135.00,Fence fire
2/07/2018,686391,2,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686393,16,732.00,Smoke detector malfunction - monitored by fire service
2/07/2018,686397,5,150.00,Vehicle fire; insuff info to classify
2/07/2018,686395,2,711.00,"Malicious, mischievous false alarm"
2/07/2018,686394,2,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686398,14,352.00,Vehicle accident-no injuries
2/07/2018,686402,14,112.00,Fire damaging structure only
2/07/2018,686400,8,431.00,"Excessive heat, overheat, scorch burns with no ignition"
2/07/2018,686399,13,111.00,Fire damaging structure and contents
2/07/2018,686403,8,624.00,Controlled burning
2/07/2018,686407,22,151.00,Passenger vehicle fire including buses
2/07/2018,686401,14,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686404,18,179.00,Vegetation or other outside fire (One hectare or less) not classified
2/07/2018,686406,13,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2018,686405,22,751.00,Smoke detector operated-no fire-smoke from other location
3/07/2018,686409,23,621.00,"Smoke scare, odour of smoke"
3/07/2018,686408,2,700.00,False alarm or false call; insuff info to classify
3/07/2018,686410,11,122.00,Chimney or flue fire - confined
3/07/2018,686411,12,352.10,Vehicle accident-with injuries
3/07/2018,686413,14,352.10,Vehicle accident-with injuries
3/07/2018,686453,2,111.00,Fire damaging structure and contents
3/07/2018,686412,8,751.00,Smoke detector operated-no fire-smoke from other location
3/07/2018,686414,8,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686415,8,111.00,Fire damaging structure and contents
3/07/2018,686416,15,179.00,Vegetation or other outside fire (One hectare or less) not classified
3/07/2018,686417,22,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686418,24,732.00,Smoke detector malfunction - monitored by fire service
3/07/2018,686419,14,709.00,False alarm or false call not classified
3/07/2018,686421,15,170.00,Vegetation or other outside fire (One hectare or less); insuff info to classify
3/07/2018,686420,8,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686422,14,621.00,"Smoke scare, odour of smoke"
3/07/2018,686425,14,765.00,Alarm activation due to workmen or occupier activities
3/07/2018,686424,13,107.20,"Wood chip / mulch fire - Roadside, median strip, playground etc. (for bulk storage - use 141)"
3/07/2018,686423,5,764.00,Incorrect test by service or company personnel
3/07/2018,686430,14,151.00,Passenger vehicle fire including buses
3/07/2018,686427,14,121.00,"Foodstuffs burnt, confined to cooking equipment"
3/07/2018,686426,6,624.00,Controlled burning
3/07/2018,686428,13,609.00,Good intent call not classified
3/07/2018,686429,8,184.00,Dumpster or other outside trash receptacle fire
3/07/2018,686431,13,621.00,"Smoke scare, odour of smoke"
3/07/2018,686433,22,181.00,"Abandoned outside rubbish, refuse or waste fire"
3/07/2018,686432,8,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686434,14,359.00,"Extrication, rescue not classified"
3/07/2018,686439,8,442.00,Chemical Spill or leak (if combustible - see 41 series)
3/07/2018,686438,14,500.00,Other service call; insuff info to classify
3/07/2018,686442,9,352.10,Vehicle accident-with injuries
3/07/2018,686435,12,331.00,Lock-in
3/07/2018,686437,15,412.00,"Odour or gas, gas leak, (domestic or LPG)"
3/07/2018,686436,23,742.00,Smoke detector malfunction - local
3/07/2018,686441,14,621.00,"Smoke scare, odour of smoke"
3/07/2018,686440,22,412.00,"Odour or gas, gas leak, (domestic or LPG)"
3/07/2018,686443,15,624.00,Controlled burning
3/07/2018,686445,14,732.00,Smoke detector malfunction - monitored by fire service
3/07/2018,686444,14,769.00,Unintentional alarm - not involving a malfunction not classified
3/07/2018,686447,2,751.00,Smoke detector operated-no fire-smoke from other location
3/07/2018,686450,23,172.30,Scrub or bush and grass mixture fire (one hectare or less)
3/07/2018,686446,8,622.00,"Steam vapour, fog or dust thought to be smoke"
3/07/2018,686449,12,701.00,Manual control point or break glass alarm activated
3/07/2018,686448,8,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686455,14,179.00,Vegetation or other outside fire (One hectare or less) not classified
3/07/2018,686460,13,352.10,Vehicle accident-with injuries
3/07/2018,686451,2,181.00,"Abandoned outside rubbish, refuse or waste fire"
3/07/2018,686467,15,352.10,Vehicle accident-with injuries
3/07/2018,686456,23,151.00,Passenger vehicle fire including buses
3/07/2018,686452,22,331.00,Lock-in
3/07/2018,686454,6,624.00,Controlled burning
3/07/2018,686458,22,121.00,"Foodstuffs burnt, confined to cooking equipment"
3/07/2018,686459,7,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
3/07/2018,686457,13,412.00,"Odour or gas, gas leak, (domestic or LPG)"
3/07/2018,686463,14,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686461,17,751.00,Smoke detector operated-no fire-smoke from other location
3/07/2018,686465,14,184.00,Dumpster or other outside trash receptacle fire
3/07/2018,686462,7,625.00,"Barbecue, hangi"
3/07/2018,686466,15,624.00,Controlled burning
3/07/2018,686464,9,NULL,NULL
3/07/2018,686472,20,624.00,Controlled burning
3/07/2018,686468,5,121.00,"Foodstuffs burnt, confined to cooking equipment"
3/07/2018,686470,8,172.30,Scrub or bush and grass mixture fire (one hectare or less)
3/07/2018,686479,22,172.30,Scrub or bush and grass mixture fire (one hectare or less)
3/07/2018,686469,27,621.00,"Smoke scare, odour of smoke"
3/07/2018,686471,13,765.00,Alarm activation due to workmen or occupier activities
3/07/2018,686473,15,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686475,22,121.00,"Foodstuffs burnt, confined to cooking equipment"
3/07/2018,686474,14,521.00,Assist police or other governmental agency
3/07/2018,686476,12,171.00,Forest or wood fire (one hectare or less)
3/07/2018,686478,13,409.00,Hazardous condition not classified
3/07/2018,686480,NULL,700.00,False alarm or false call; insuff info to classify
3/07/2018,686477,2,329.00,EMS not classified
3/07/2018,686481,8,352.10,Vehicle accident-with injuries
3/07/2018,686482,16,624.00,Controlled burning
3/07/2018,686483,8,756.00,Cooking fumes - toast or foodstuffs etc
3/07/2018,686487,13,172.30,Scrub or bush and grass mixture fire (one hectare or less)
3/07/2018,686486,14,701.00,Manual control point or break glass alarm activated
3/07/2018,686491,12,122.00,Chimney or flue fire - confined
3/07/2018,686493,NULL,152.00,Road or transport vehicle fire
3/07/2018,686490,18,172.30,Scrub or bush and grass mixture fire (one hectare or less)
3/07/2018,686488,14,509.00,Other service call not classified (Public Service)
3/07/2018,686484,14,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686485,8,184.00,Dumpster or other outside trash receptacle fire
3/07/2018,686489,14,352.00,Vehicle accident-no injuries
3/07/2018,686499,2,179.00,Vegetation or other outside fire (One hectare or less) not classified
3/07/2018,686495,15,151.00,Passenger vehicle fire including buses
3/07/2018,686494,14,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
3/07/2018,686492,8,321.00,"EMS call, excluding vehicle accident with injury"
3/07/2018,686496,22,768.00,"Alarm activation due to steam, sauna, steam room"
4/07/2018,686497,10,742.00,Smoke detector malfunction - local
4/07/2018,686500,8,151.00,Passenger vehicle fire including buses
4/07/2018,686502,8,151.00,Passenger vehicle fire including buses
4/07/2018,686501,14,151.00,Passenger vehicle fire including buses
4/07/2018,686498,14,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2018,686504,8,112.00,Fire damaging structure only
4/07/2018,686503,5,435.00,Power line down
4/07/2018,686506,15,621.00,"Smoke scare, odour of smoke"
4/07/2018,686505,13,758.00,"Simulated condition - caused by incense, candles, sparklers, smoke machine etc"
4/07/2018,686507,2,173.20,Small grass fire (One hectare or less)
4/07/2018,686680,15,111.00,Fire damaging structure and contents
4/07/2018,686508,15,509.00,Other service call not classified (Public Service)
4/07/2018,686509,8,751.00,Smoke detector operated-no fire-smoke from other location
4/07/2018,686526,10,352.00,Vehicle accident-no injuries
4/07/2018,686510,7,352.00,Vehicle accident-no injuries
4/07/2018,686511,8,352.00,Vehicle accident-no injuries
4/07/2018,686513,13,625.00,"Barbecue, hangi"
4/07/2018,686512,8,359.00,"Extrication, rescue not classified"
4/07/2018,686514,14,756.00,Cooking fumes - toast or foodstuffs etc
4/07/2018,686516,8,179.00,Vegetation or other outside fire (One hectare or less) not classified
4/07/2018,686515,14,320.00,EMS; insuff info to classify
4/07/2018,686517,9,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2018,686518,2,754.30,Detector operated - no fire - internal/within same floor/compartment/smoke/heat
4/07/2018,686519,8,331.00,Lock-in
4/07/2018,686522,15,179.00,Vegetation or other outside fire (One hectare or less) not classified
4/07/2018,686525,13,151.00,Passenger vehicle fire including buses
4/07/2018,686520,8,321.00,"EMS call, excluding vehicle accident with injury"
4/07/2018,686523,5,765.00,Alarm activation due to workmen or occupier activities
4/07/2018,686524,11,352.00,Vehicle accident-no injuries
4/07/2018,686527,20,709.00,False alarm or false call not classified
4/07/2018,686538,7,161.00,Forest or woods fire (more than one hectare)
4/07/2018,686537,16,161.00,Forest or woods fire (more than one hectare)
4/07/2018,686532,8,765.00,Alarm activation due to workmen or occupier activities
4/07/2018,686529,14,321.00,"EMS call, excluding vehicle accident with injury"
4/07/2018,686624,12,111.00,Fire damaging structure and contents
4/07/2018,686528,22,157.00,Off-road vehicles or mobile equipment fire
4/07/2018,686574,15,111.00,Fire damaging structure and contents
4/07/2018,686531,8,352.10,Vehicle accident-with injuries
4/07/2018,686530,23,181.00,"Abandoned outside rubbish, refuse or waste fire"
4/07/2018,686642,22,111.00,Fire damaging structure and contents
4/07/2018,686535,27,184.00,Dumpster or other outside trash receptacle fire
4/07/2018,686533,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2018,686534,7,751.00,Smoke detector operated-no fire-smoke from other location
4/07/2018,686536,8,702.00,"Alarm operated due to extreme weather - storm, lightning, heavy rain, thunder flash flooding"
4/07/2018,1079634,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
4/07/2018,686540,8,172.30,Scrub or bush and grass mixture fire (one hectare or less)
4/07/2018,686572,8,163.00,Grass fire (more than one hectare)
4/07/2018,686539,13,172.30,Scrub or bush and grass mixture fire (one hectare or less)
4/07/2018,686541,14,352.10,Vehicle accident-with injuries
4/07/2018,686547,14,621.00,"Smoke scare, odour of smoke"
4/07/2018,686545,NULL,523.13,Mutual Aid Given - MFB
4/07/2018,686544,14,621.00,"Smoke scare, odour of smoke"
4/07/2018,686543,23,737.00,Fire indicator panel in normal condition on arrival
4/07/2018,686550,11,173.20,Small grass fire (One hectare or less)
4/07/2018,686542,2,711.00,"Malicious, mischievous false alarm"
4/07/2018,686551,17,732.00,Smoke detector malfunction - monitored by fire service
4/07/2018,686548,13,765.00,Alarm activation due to workmen or occupier activities
4/07/2018,686546,14,765.00,Alarm activation due to workmen or occupier activities
4/07/2018,686549,23,350.00,"Extrication, rescue; insuff info to classify"
4/07/2018,686565,10,157.00,Off-road vehicles or mobile equipment fire
4/07/2018,686555,14,621.00,"Smoke scare, odour of smoke"
4/07/2018,686552,8,352.10,Vehicle accident-with injuries
4/07/2018,686558,9,111.00,Fire damaging structure and contents
4/07/2018,686556,8,172.30,Scrub or bush and grass mixture fire (one hectare or less)
4/07/2018,686554,7,184.00,Dumpster or other outside trash receptacle fire
4/07/2018,686560,27,765.00,Alarm activation due to workmen or occupier activities
4/07/2018,686553,2,321.00,"EMS call, excluding vehicle accident with injury"
4/07/2018,686562,13,435.00,Power line down
4/07/2018,686557,8,734.00,Sprinkler malfunction - privately monitored
4/07/2018,686559,NULL,184.00,Dumpster or other outside trash receptacle fire
4/07/2018,686561,8,331.00,Lock-in
4/07/2018,686563,8,431.00,"Excessive heat, overheat, scorch burns with no ignition"
4/07/2018,686564,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
4/07/2018,686568,13,112.00,Fire damaging structure only
4/07/2018,686566,2,600.00,Good intent call; insuff info to classify
4/07/2018,686569,8,352.10,Vehicle accident-with injuries
4/07/2018,686567,14,352.00,Vehicle accident-no injuries
4/07/2018,686570,23,151.00,Passenger vehicle fire including buses
4/07/2018,686573,7,600.00,Good intent call; insuff info to classify
4/07/2018,686576,6,179.00,Vegetation or other outside fire (One hectare or less) not classified
4/07/2018,686571,8,321.00,"EMS call, excluding vehicle accident with injury"
4/07/2018,686578,2,769.00,Unintentional alarm - not involving a malfunction not classified
