incident_datetime,Incident_count,Ball_Direction of maximum wind gust,Ball_Maximum temperature (°C),Ball_Minimum temperature (°C),Ball_Speed of maximum wind gust (km/h),Fern_Direction of maximum wind gust,Fern_Maximum temperature (°C),Fern_Minimum temperature (°C),Fern_Speed of maximum wind gust (km/h),Wang_Direction of maximum wind gust,Wang_Maximum temperature (°C),Wang_Minimum temperature (°C),Wang_Speed of maximum wind gust (km/h)
2020-05-07,82,NNE,17.5,10.5,65.0,E,13.0,7.2,13.0,N,36.3,13.7,39.0
2020-05-08,89,NNW,15.9,7.2,48.0,E,15.8,8.2,41.0,N,39.4,18.2,56.0
2020-05-09,80,W,10.9,7.3,61.0,E,19.4,8.9,19.0,NNW,33.6,20.4,59.0
2020-05-10,76,W,11.6,1.8,37.0,NW,17.4,12.5,31.0,WSW,21.6,15.9,54.0
2020-05-11,93,N,14.4,2.1,30.0,WSW,11.6,8.4,44.0,N,24.7,5.8,26.0
2020-05-12,93,N,13.4,6.3,46.0,SW,10.1,7.2,24.0,NNE,29.4,7.1,35.0
2020-05-13,91,S,11.8,6.1,35.0,NW,15.6,7.9,15.0,NE,32.0,12.4,31.0
2020-05-14,97,SSE,11.6,-1.2,31.0,N,18.2,8.8,22.0,WSW,30.9,11.5,63.0
2020-05-15,116,SE,13.9,-0.8,22.0,NNE,19.3,11.9,46.0,WSW,28.4,11.6,31.0
2020-05-16,120,N,13.8,0.4,35.0,SW,17.6,13.1,33.0,W,24.8,13.4,48.0
2020-05-17,110,ESE,16.0,-0.3,15.0,NW,13.7,5.7,22.0,SSW,22.9,7.4,24.0
2020-05-18,110,N,15.2,-0.2,43.0,NW,11.5,8.0,19.0,WNW,27.4,8.0,30.0
2020-05-19,102,N,15.4,5.4,56.0,NNE,14.3,7.8,37.0,SSW,30.3,10.1,24.0
2020-05-20,126,NNW,11.9,6.0,98.0,NE,16.2,8.3,56.0,E,31.0,9.9,24.0
2020-05-21,86,SSW,10.4,5.5,43.0,NNW,15.0,7.4,28.0,W,31.6,12.9,39.0
2020-05-22,98,SSE,10.6,5.6,24.0,NW,14.7,9.9,20.0,SSE,30.4,11.8,37.0
2020-05-23,96,S,11.8,5.5,39.0,N,15.3,8.1,31.0,W,32.3,12.6,30.0
2020-05-24,88,SSE,10.7,6.8,46.0,NW,18.5,11.3,26.0,SW,32.5,14.5,24.0
2020-05-25,101,ESE,12.8,4.4,50.0,NW,16.7,10.5,31.0,NNE,33.6,14.4,24.0
2020-05-26,101,NNE,14.1,-0.5,43.0,WSW,12.4,12.2,28.0,NE,29.2,19.1,43.0
2020-05-27,99,NNE,13.8,8.0,43.0,NW,13.9,5.2,15.0,N,27.1,15.0,35.0
2020-05-28,93,N,13.0,4.0,31.0,NW,15.6,7.7,39.0,NNW,27.5,17.5,46.0
2020-05-29,125,N,13.5,3.7,44.0,N,14.9,11.6,37.0,W,21.2,17.1,57.0
2020-05-30,118,N,13.4,6.1,74.0,NNW,9.7,5.5,35.0,WSW,21.4,8.1,44.0
2020-05-31,103,N,13.1,5.9,57.0,NW,26.8,11.9,30.0,NE,24.9,3.6,20.0
2020-06-01,70,N,7.3,4.4,54.0,WSW,8.6,3.9,37.0,NW,11.3,4.3,52.0
2020-06-02,103,W,10.9,4.2,41.0,SW,10.4,5.8,30.0,WNW,10.9,6.9,56.0
2020-06-03,102,SSE,10.7,6.8,46.0,W,12.8,7.1,15.0,SW,11.7,1.1,30.0
2020-06-04,104,SE,13.0,1.0,30.0,NNE,15.6,6.6,30.0,W,14.5,5.0,26.0
2020-06-05,133,NW,11.7,0.4,20.0,N,15.2,10.9,46.0,NNW,22.0,5.3,20.0
2020-06-06,94,SSE,10.9,-1.3,31.0,NNE,17.6,11.9,56.0,NNW,26.2,5.3,28.0
2020-06-07,91,SE,8.7,4.5,33.0,N,14.6,9.3,37.0,N,26.6,8.3,24.0
2020-06-08,110,S,9.8,1.2,26.0,NNE,10.0,10.0,33.0,ESE,20.5,13.9,30.0
2020-06-09,98,N,10.0,-3.5,35.0,NW,9.5,2.2,19.0,NNE,28.0,9.9,39.0
2020-06-10,105,N,12.5,1.1,33.0,WNW,11.7,5.5,20.0,W,28.0,14.0,31.0
2020-06-11,87,NW,13.7,-2.4,17.0,N,11.0,7.5,35.0,N,26.1,6.0,31.0
2020-06-12,114,NNE,11.0,-0.3,52.0,N,9.8,6.9,22.0,WNW,23.3,4.9,33.0
2020-06-13,106,NNE,13.3,4.9,59.0,E,10.9,4.7,17.0,None,18.7,12.1,0.0
2020-06-14,84,NNW,11.5,3.8,48.0,E,12.8,5.3,15.0,SW,19.6,2.7,24.0
2020-06-15,97,NNW,13.5,6.6,46.0,NNW,14.6,6.0,22.0,N,22.7,1.0,20.0
2020-06-16,78,WNW,13.6,9.1,48.0,NW,14.5,6.3,11.0,NE,24.8,2.2,30.0
2020-06-17,85,SSE,9.9,4.5,17.0,NNE,15.2,7.9,33.0,S,23.9,3.1,20.0
2020-06-18,93,N,12.5,0.2,54.0,N,13.7,10.8,44.0,ESE,26.3,4.1,28.0
2020-06-19,97,N,13.1,3.7,65.0,WSW,11.2,7.1,46.0,N,28.2,9.7,39.0
2020-06-20,91,N,9.6,7.8,46.0,NNW,8.8,6.0,22.0,N,27.7,12.5,30.0
2020-06-21,102,NNW,8.6,5.0,26.0,ESE,9.2,5.6,15.0,NNE,28.3,12.3,35.0
2020-06-22,79,WNW,10.1,3.4,37.0,SSW,9.1,5.1,28.0,NNW,26.8,13.7,30.0
2020-06-23,97,S,13.3,5.6,33.0,SSW,9.4,6.4,26.0,None,27.0,5.1,0.0
2020-06-24,104,SSE,13.0,6.1,22.0,ESE,11.1,5.9,35.0,N,29.1,7.1,22.0
2020-06-25,96,N,11.8,4.3,35.0,NE,14.7,5.8,20.0,WSW,28.2,9.2,48.0
2020-06-26,99,WNW,9.9,-0.3,20.0,NNE,13.7,9.4,35.0,WSW,22.0,14.6,24.0
2020-06-27,101,WSW,11.2,1.7,17.0,NW,12.5,9.1,20.0,N,26.0,13.7,19.0
2020-06-28,110,SSE,11.5,-2.2,22.0,NNW,13.2,7.0,31.0,N,25.4,15.1,26.0
2020-06-29,103,NNE,11.2,-2.1,44.0,N,12.6,9.3,69.0,WNW,23.9,12.3,30.0
2020-06-30,106,N,9.5,2.7,61.0,NNW,12.3,9.3,41.0,WSW,18.8,11.0,54.0
2020-07-01,77,NNW,12.9,4.5,57.0,WSW,7.6,5.6,54.0,NNE,16.5,-0.9,22.0
2020-07-02,64,WNW,10.9,5.1,43.0,W,9.1,4.8,37.0,None,17.9,-0.1,0.0
2020-07-03,66,WNW,7.0,2.5,52.0,WSW,9.4,5.6,31.0,WNW,16.4,5.0,69.0
2020-07-04,62,SW,10.5,1.7,37.0,ESE,10.4,5.5,13.0,WNW,12.0,6.7,31.0
2020-07-05,56,SSW,10.5,6.2,31.0,NW,11.2,4.7,19.0,N,20.8,10.0,46.0
2020-07-06,68,SW,10.5,4.0,28.0,SE,9.7,5.1,19.0,NNE,22.2,15.6,39.0
2020-07-07,72,ESE,10.7,5.9,28.0,E,7.7,4.0,20.0,E,18.4,12.4,17.0
2020-07-08,72,N,11.3,-0.4,28.0,E,9.8,3.5,15.0,SW,17.1,8.4,43.0
2020-07-09,79,N,10.9,1.2,44.0,NW,10.8,3.7,17.0,SSE,20.0,6.9,28.0
2020-07-10,69,N,11.8,2.7,28.0,NNE,12.4,7.2,22.0,SW,18.6,3.7,20.0
2020-07-11,65,N,10.2,4.5,24.0,NW,12.5,4.4,13.0,NNE,17.2,2.3,30.0
2020-07-12,60,SE,11.1,6.7,46.0,N,11.8,5.7,31.0,NW,15.5,6.1,39.0
2020-07-13,57,SE,12.9,7.0,54.0,N,12.2,8.2,52.0,N,16.4,4.3,33.0
2020-07-14,57,SE,10.5,7.2,57.0,NW,10.5,6.5,39.0,SW,14.1,9.6,35.0
2020-07-15,57,ESE,11.7,6.1,48.0,NNW,11.9,6.3,35.0,SW,15.5,7.8,48.0
2020-07-16,68,SE,11.3,-0.9,33.0,NW,12.9,9.7,43.0,W,15.9,10.5,22.0
2020-07-17,86,NNE,11.1,-2.7,33.0,E,10.4,5.5,13.0,ENE,15.7,2.6,13.0
2020-07-18,64,N,7.7,0.1,57.0,N,13.2,5.0,33.0,WSW,17.7,2.1,20.0
2020-07-19,64,WNW,10.2,4.3,63.0,NNE,14.5,9.3,46.0,W,18.4,1.9,24.0
2020-07-20,55,WSW,9.7,3.6,39.0,NNE,13.1,9.7,44.0,NNE,17.5,1.6,17.0
2020-07-21,61,SSW,9.3,5.1,28.0,NE,8.6,6.3,15.0,SE,20.2,0.7,11.0
2020-07-22,67,SSW,9.4,5.8,26.0,NW,7.7,5.5,22.0,SSE,20.8,2.6,17.0
2020-07-23,60,S,7.1,5.1,24.0,NW,9.9,5.5,20.0,SSW,17.1,5.0,11.0
2020-07-24,81,NNE,9.3,-0.5,41.0,ESE,12.2,7.6,22.0,W,14.9,5.5,17.0
2020-07-25,74,ESE,13.3,1.7,35.0,NW,9.5,7.4,22.0,SSW,18.1,5.1,15.0
2020-07-26,72,ESE,13.4,4.0,35.0,SSW,9.8,3.8,17.0,W,19.8,2.3,19.0
2020-07-27,60,S,10.7,3.3,56.0,E,9.6,3.8,13.0,NE,20.2,1.1,15.0
2020-07-28,56,SE,11.5,6.7,44.0,E,10.2,2.5,7.0,SW,18.2,4.4,37.0
2020-07-29,62,WSW,13.4,4.8,26.0,NE,11.4,4.2,19.0,W,17.3,10.0,35.0
2020-07-30,68,S,11.8,2.7,20.0,N,11.4,6.3,44.0,WSW,14.0,8.3,33.0
2020-07-31,64,N,12.6,-1.4,28.0,WNW,6.4,3.5,31.0,WNW,11.5,6.7,63.0
2020-08-01,65,NNE,13.1,3.9,43.0,WSW,12.4,6.7,30.0,S,13.9,5.4,37.0
2020-08-02,92,N,13.5,4.5,37.0,WSW,12.9,7.8,26.0,SW,13.7,-1.9,28.0
2020-08-03,72,WSW,11.1,1.4,35.0,WSW,9.6,8.4,26.0,WSW,15.3,0.6,33.0
2020-08-04,57,SSW,7.3,0.0,61.0,WSW,9.6,6.4,37.0,SSE,16.0,-1.1,13.0
2020-08-05,56,SW,8.4,-0.3,37.0,WSW,10.7,6.4,41.0,E,14.3,0.7,13.0
2020-08-06,62,SE,10.2,0.8,54.0,WSW,8.6,5.9,37.0,NNE,16.2,1.3,22.0
2020-08-07,48,SE,7.7,3.2,50.0,WSW,10.4,4.7,39.0,NW,17.0,6.6,35.0
2020-08-08,54,ESE,11.8,4.1,48.0,WSW,9.3,4.0,22.0,NE,16.0,1.1,17.0
2020-08-09,53,SE,11.5,6.9,57.0,WSW,10.7,3.6,22.0,N,13.6,4.8,35.0
2020-08-10,51,SE,14.8,5.3,50.0,N,9.1,5.2,50.0,WNW,15.1,9.7,31.0
2020-08-11,51,NNE,9.3,1.6,52.0,N,10.9,6.4,39.0,SW,14.1,7.5,30.0
2020-08-12,56,NNE,11.5,6.4,50.0,WSW,8.0,4.1,20.0,WNW,13.7,6.0,15.0
2020-08-13,56,N,14.0,7.9,39.0,WSW,7.7,5.6,13.0,WSW,14.8,4.7,17.0
2020-08-14,80,N,13.6,6.3,41.0,WSW,8.0,5.3,15.0,SW,14.7,0.5,11.0
2020-08-15,70,SSW,13.1,4.6,24.0,WSW,6.9,4.6,15.0,SW,11.2,1.5,46.0
2020-08-16,42,SW,12.5,7.4,39.0,N,10.6,2.8,22.0,WSW,11.6,-1.5,26.0
2020-08-17,64,NNW,12.4,5.1,43.0,ENE,12.0,4.6,11.0,N,9.8,-2.2,15.0
2020-08-18,54,N,13.2,5.7,61.0,E,10.4,4.1,19.0,SW,12.4,-1.9,28.0
2020-08-19,40,NW,9.2,5.8,57.0,SE,8.8,6.6,39.0,SSE,12.5,-3.4,13.0
2020-08-20,61,NW,11.6,5.7,50.0,ESE,10.0,6.5,39.0,SSW,12.9,-3.3,13.0
2020-08-21,49,WSW,8.5,2.4,57.0,E,12.1,4.9,24.0,S,13.1,-3.6,15.0
2020-08-22,64,WSW,6.9,2.0,65.0,W,11.0,5.8,15.0,WSW,15.2,-2.6,11.0
2020-08-23,47,None,9.9,2.9,0.0,N,12.0,4.3,22.0,SW,16.5,-2.2,11.0
2020-09-01,58,NNE,11.3,-1.2,57.0,NE,14.0,7.5,30.0,NNW,17.6,1.9,17.0
2020-09-02,60,N,15.9,6.1,74.0,NW,11.6,5.7,28.0,SW,17.4,1.2,15.0
2020-09-03,72,NW,14.5,6.1,70.0,W,4.5,0.7,33.0,NNE,14.9,5.0,24.0
2020-09-04,58,NNW,13.1,1.8,43.0,SW,7.3,0.1,35.0,E,15.0,7.9,37.0
2020-09-05,75,NNW,14.0,5.1,30.0,E,8.6,2.6,33.0,WNW,12.5,5.7,24.0
2020-09-06,72,N,16.0,2.2,50.0,E,7.9,2.9,48.0,N,13.2,4.9,50.0
2020-09-07,71,NNE,18.9,6.1,78.0,ESE,10.2,5.0,43.0,NW,11.7,6.2,67.0
2020-09-08,65,NNE,13.9,10.4,69.0,E,10.5,5.8,44.0,WNW,13.6,7.9,54.0
2020-09-09,58,SE,13.5,4.6,52.0,E,13.0,5.0,30.0,WNW,10.1,4.6,57.0
2020-09-10,76,SE,17.5,4.1,56.0,NNE,11.8,6.3,43.0,W,10.8,3.8,67.0
2020-09-11,64,N,15.3,6.6,65.0,NNE,12.2,7.3,41.0,W,13.2,5.2,56.0
2020-09-12,72,NNE,11.3,9.3,46.0,NNE,14.0,7.8,26.0,W,13.9,6.0,35.0
2020-09-13,40,W,13.5,7.4,33.0,NE,15.2,8.9,24.0,W,11.1,4.2,33.0
2020-09-14,59,WSW,13.9,6.2,35.0,SSW,12.8,6.9,19.0,W,11.9,4.9,31.0
2020-09-15,63,W,15.8,4.5,20.0,WSW,8.9,7.6,35.0,NNE,11.4,4.7,15.0
2020-09-16,68,N,18.5,5.0,41.0,N,11.8,6.4,26.0,NNE,14.9,3.0,35.0
2020-09-17,66,SSE,12.6,9.0,46.0,NNW,12.5,6.6,31.0,N,13.1,2.0,28.0
2020-09-18,64,SE,19.4,7.9,41.0,N,7.0,5.9,30.0,NNE,14.0,-1.0,19.0
2020-09-19,102,NNE,21.7,10.7,56.0,WNW,10.2,5.0,31.0,WNW,14.6,0.5,48.0
2020-09-20,61,NNE,15.9,11.9,63.0,W,8.3,3.1,41.0,WNW,12.0,1.2,41.0
2020-09-21,61,NNW,16.6,9.9,61.0,WSW,5.3,0.6,31.0,NE,11.9,6.6,15.0
2020-09-22,70,WNW,13.9,7.6,70.0,None,6.933333333333333,2.0,0.0,None,11.5,6.1,0.0
2020-09-23,61,W,11.9,3.1,44.0,NNE,8.566666666666666,8.8,59.0,SE,14.7,6.8,13.0
2020-09-24,54,NW,10.6,3.3,54.0,N,10.2,5.8,46.0,N,14.7,4.2,15.0
2020-09-25,69,W,7.0,3.6,44.0,WSW,6.5,4.0,30.0,N,12.0,6.8,13.0
2020-09-26,41,SW,10.5,0.1,56.0,WSW,8.4,2.5,30.0,SE,13.4,-0.4,13.0
2020-09-27,66,S,11.6,3.6,33.0,WSW,7.9,4.0,26.0,WSW,14.7,-0.5,17.0
2020-09-28,69,ESE,15.3,-0.8,30.0,WSW,8.3,6.0,22.0,S,16.3,2.9,11.0
2020-09-29,69,N,16.0,1.4,56.0,WSW,8.3,6.5,15.0,W,14.9,0.8,39.0
2020-09-30,41,N,14.3,9.1,54.0,WSW,11.7,3.9,20.0,SW,12.9,5.1,35.0
2020-10-01,75,N,15.2,2.8,39.0,NNE,12.1,2.7,43.0,NE,26.4,9.1,33.0
2020-10-02,91,N,24.9,8.5,54.0,N,17.4,6.4,59.0,NNE,26.4,8.4,43.0
2020-10-03,107,N,25.1,12.1,57.0,NW,15.2,9.2,48.0,WNW,26.7,12.4,33.0
2020-10-04,80,NNE,22.5,13.8,59.0,N,12.7,4.8,31.0,NNW,24.4,5.9,28.0
2020-10-05,60,SE,11.4,5.2,50.0,NNW,12.7,6.2,26.0,WNW,13.0,-0.9,22.0
2020-10-06,73,SSE,10.6,4.0,48.0,NE,15.2,6.4,33.0,WNW,13.2,-1.0,19.0
2020-10-07,64,NE,15.6,5.9,39.0,N,18.8,9.8,59.0,W,12.2,-0.7,26.0
2020-10-08,56,NNE,10.8,8.6,65.0,NNE,18.4,13.1,61.0,W,11.5,1.0,20.0
2020-10-09,64,W,13.0,7.1,54.0,E,13.4,6.1,31.0,W,12.2,4.7,15.0
2020-10-10,77,WNW,18.0,2.1,33.0,E,17.5,3.5,28.0,NNE,12.3,-2.0,22.0
2020-10-11,72,S,14.7,5.6,31.0,N,16.0,9.2,46.0,SSW,10.2,2.7,19.0
2020-10-12,85,NNW,21.1,1.9,44.0,N,13.3,9.8,43.0,NNW,11.5,6.2,57.0
2020-10-13,62,SSE,15.9,10.7,43.0,WSW,13.5,8.9,22.0,NW,10.2,7.0,76.0
2020-10-14,82,SE,21.9,7.8,43.0,WSW,13.8,6.6,20.0,W,10.1,2.7,43.0
2020-10-15,73,NW,19.9,10.8,56.0,NW,15.0,5.7,15.0,WNW,11.3,3.9,46.0
2020-10-16,73,ESE,14.6,5.6,56.0,NNW,18.4,7.5,35.0,SW,13.8,-0.6,33.0
2020-10-17,77,SW,14.4,8.6,41.0,E,12.4,8.6,30.0,ESE,12.6,-1.3,15.0
2020-10-18,71,SSW,12.1,6.9,46.0,E,17.9,6.3,26.0,N,12.1,3.0,24.0
2020-10-19,80,WSW,13.3,4.0,28.0,NE,21.9,12.2,35.0,NNE,14.9,-0.7,20.0
2020-10-20,77,SE,16.5,4.6,28.0,NNE,18.3,12.9,50.0,NW,14.1,1.6,31.0
2020-10-21,63,SE,18.8,5.7,35.0,NNE,14.8,12.7,46.0,SW,16.0,-0.3,22.0
2020-10-22,79,SE,21.1,7.2,39.0,NW,13.7,8.3,54.0,W,18.0,0.9,61.0
2020-10-23,82,N,23.1,11.2,33.0,WNW,11.3,6.3,26.0,WNW,11.3,4.0,41.0
2020-10-24,65,SSW,12.7,8.5,50.0,N,9.9,3.8,46.0,WNW,11.5,4.8,43.0
2020-10-25,70,S,11.0,3.4,65.0,NNE,7.1,3.3,33.0,W,16.8,6.6,54.0
2020-10-26,79,SE,14.2,4.6,74.0,SW,9.2,1.4,39.0,SW,13.8,10.1,57.0
2020-10-27,82,ESE,16.5,7.6,48.0,S,10.0,3.5,20.0,None,12.6,-2.3,0.0
2020-10-28,77,SE,20.7,8.5,43.0,E,12.2,3.0,15.0,NNE,11.5,4.3,22.0
2020-10-29,78,W,19.0,6.4,37.0,NE,16.3,3.8,37.0,SSW,11.7,-0.3,20.0
2020-10-30,87,SSE,19.3,9.6,50.0,NNE,13.8,9.0,43.0,ENE,14.6,1.9,15.0
2020-10-31,86,SSE,16.8,9.6,54.0,N,12.4,6.6,28.0,SE,17.2,0.3,15.0
2020-11-01,88,SSE,19.2,7.6,41.0,NNE,21.4,8.2,48.0,NNE,21.5,1.0,30.0
2020-11-02,93,N,26.2,4.5,30.0,NNE,24.1,14.3,54.0,N,19.3,8.2,65.0
2020-11-03,98,N,28.9,13.1,56.0,NNE,25.0,18.6,46.0,WSW,14.1,8.0,61.0
2020-11-04,72,SSW,16.8,15.5,43.0,SSE,8.6,5.9,33.0,NW,32.7,9.0,39.0
2020-11-05,67,S,13.8,5.3,52.0,ESE,9.2,4.9,39.0,SW,27.4,16.2,43.0
2020-11-06,77,WSW,13.6,4.3,33.0,NE,15.0,4.9,31.0,NNW,28.0,9.0,26.0
2020-11-07,87,SSE,15.0,5.8,44.0,N,12.7,9.1,44.0,NNE,20.2,16.0,28.0
2020-11-08,107,SE,22.2,6.4,56.0,WSW,11.1,6.8,35.0,NE,21.5,16.8,41.0
2020-11-09,93,NNE,25.5,8.6,39.0,NNW,17.2,6.9,24.0,WSW,26.0,16.5,44.0
2020-11-10,118,N,29.0,16.6,54.0,WSW,13.7,6.8,15.0,SW,27.1,13.2,24.0
2020-11-11,130,NNE,19.9,16.5,67.0,NW,20.1,5.4,28.0,S,25.6,14.0,31.0
2020-11-12,80,NW,18.7,10.9,48.0,E,13.3,9.8,24.0,SSE,26.5,11.3,19.0
2020-11-13,87,WNW,18.1,10.0,33.0,N,21.0,7.3,24.0,N,26.5,11.9,22.0
2020-11-14,112,NW,20.3,9.2,35.0,WSW,20.5,9.7,39.0,NNE,28.4,12.3,28.0
2020-11-15,137,N,27.7,9.7,69.0,E,16.6,4.5,28.0,NNE,27.7,11.5,41.0
2020-11-16,143,NNW,19.9,10.7,59.0,SW,14.0,7.9,28.0,N,29.1,11.3,39.0
2020-11-17,86,WSW,19.6,5.2,39.0,WSW,10.8,5.7,24.0,SSW,22.8,10.0,43.0
2020-11-18,124,NW,26.7,5.7,35.0,WSW,11.5,5.3,15.0,SSW,23.9,6.2,20.0
2020-11-19,134,N,31.3,13.3,48.0,E,13.9,5.3,15.0,E,26.1,7.4,24.0
2020-11-20,115,ESE,23.9,11.0,43.0,ESE,15.3,8.3,19.0,N,26.3,8.8,35.0
2020-11-21,131,SE,28.3,11.4,43.0,ESE,18.2,6.9,15.0,NNE,29.8,10.1,37.0
2020-11-22,157,SSW,26.2,16.0,61.0,N,20.5,10.7,19.0,NE,32.0,15.5,31.0
2020-11-23,95,SSW,17.5,14.4,41.0,WSW,10.7,9.2,31.0,NW,25.4,17.1,43.0
2020-11-24,80,S,18.3,9.1,30.0,E,10.7,3.3,65.0,SW,26.3,10.0,35.0
2020-11-25,119,S,27.5,8.2,43.0,E,12.6,5.3,63.0,WSW,23.5,10.5,52.0
2020-11-26,85,SSE,21.4,10.9,43.0,ESE,15.4,6.7,43.0,SW,23.1,7.5,24.0
2020-11-27,145,NNW,32.6,7.8,46.0,E,19.0,7.6,26.0,NNW,23.6,7.2,19.0
2020-11-28,136,SSE,23.6,14.9,48.0,NW,21.0,10.3,28.0,SW,25.3,9.5,39.0
2020-11-29,92,WNW,17.1,10.7,70.0,E,19.2,9.5,35.0,S,25.9,6.5,22.0
2020-11-30,121,SE,26.8,7.6,46.0,S,13.9,10.1,31.0,NNE,26.1,7.0,19.0
2020-12-01,89,W,21.0,14.2,65.0,ESE,17.6,7.5,24.0,NW,17.0,4.7,15.0
2020-12-02,103,W,17.2,3.8,33.0,WNW,25.1,8.9,19.0,SSE,14.1,1.5,9.0
2020-12-03,90,WNW,22.9,4.8,33.0,NE,25.8,16.7,48.0,N,16.5,-0.1,33.0
2020-12-04,122,WSW,21.7,6.0,31.0,NNE,20.0,19.0,43.0,NNW,15.5,4.1,30.0
2020-12-05,112,NNW,23.4,10.2,70.0,SSE,12.0,5.7,31.0,ENE,26.2,6.0,26.0
2020-12-06,82,WNW,17.3,7.4,61.0,WSW,12.5,5.8,20.0,N,22.1,11.2,46.0
2020-12-07,69,W,13.3,7.0,59.0,SW,12.3,6.0,28.0,NNE,20.9,14.4,28.0
2020-12-08,77,WSW,13.6,5.5,37.0,E,19.8,5.2,28.0,W,17.3,12.5,72.0
2020-12-09,105,WSW,23.5,8.3,35.0,NE,23.6,10.0,24.0,None,18.0,8.5,0.0
2020-12-10,101,SSE,16.5,9.0,59.0,NE,26.6,16.5,33.0,SSW,18.7,10.4,30.0
2020-12-11,111,SE,20.9,7.7,52.0,NE,23.8,20.1,59.0,SSE,18.6,4.5,17.0
2020-12-12,156,NNE,26.0,8.1,48.0,NNE,20.8,16.0,46.0,ESE,22.8,10.2,26.0
2020-12-13,149,NE,27.8,14.4,48.0,WSW,18.7,9.8,22.0,SE,23.6,8.1,22.0
2020-12-14,142,NNE,30.5,16.0,50.0,NW,18.9,9.4,19.0,WNW,21.8,13.8,28.0
2020-12-15,117,ESE,33.8,18.7,50.0,NNE,27.2,10.6,70.0,WSW,16.5,14.0,65.0
2020-12-16,107,SE,24.9,11.7,50.0,N,20.4,15.0,54.0,WSW,18.2,5.1,30.0
2020-12-17,103,WSW,27.1,12.1,44.0,SSW,18.1,7.4,20.0,N,18.9,6.2,22.0
2020-12-18,96,SW,16.6,8.5,43.0,NW,23.9,8.7,17.0,NE,21.6,5.4,17.0
2020-12-19,142,SE,18.5,4.3,37.0,NE,29.5,17.2,35.0,NNE,24.3,7.8,26.0
2020-12-20,82,SE,21.2,5.6,46.0,ESE,20.4,12.6,30.0,WSW,26.5,14.1,48.0
2020-12-21,88,ESE,22.4,9.8,39.0,ESE,26.3,9.1,24.0,WSW,18.4,6.6,39.0
2020-12-22,95,SW,12.3,10.0,57.0,NW,25.6,13.5,28.0,WSW,17.4,4.8,30.0
2020-12-23,94,SSW,16.7,6.2,33.0,SW,14.6,13.7,26.0,N,18.0,4.5,19.0
2020-12-24,87,S,18.1,10.0,39.0,SW,17.7,8.8,15.0,W,22.0,9.4,30.0
2020-12-25,87,SE,18.6,6.6,43.0,NW,25.8,10.3,30.0,NW,20.4,4.0,22.0
2020-12-26,94,WNW,27.2,6.9,44.0,ESE,20.9,12.8,22.0,SW,20.9,6.4,20.0
2020-12-27,123,NW,28.2,14.0,74.0,NNW,29.8,7.5,28.0,NNE,20.3,2.5,20.0
2020-12-28,108,S,16.5,5.6,46.0,SW,23.1,14.6,35.0,NW,21.8,8.8,19.0
2020-12-29,101,SSE,20.5,4.1,43.0,W,14.5,10.3,39.0,NNE,20.8,6.0,31.0
2020-12-30,101,SSE,22.1,11.6,46.0,E,24.9,8.4,30.0,NW,19.3,10.4,33.0
2020-12-31,114,SSE,21.8,11.5,52.0,NNW,14.5,5.1,30.0,WNW,17.8,2.5,15.0
2021-01-01,157,NNE,26.1,12.8,43.0,WSW,21.7,12.5,46.0,SSW,12.2,-0.7,13.0
2021-01-02,129,S,25.1,15.7,44.0,SW,16.3,6.5,26.0,SSW,13.0,-1.5,13.0
2021-01-03,93,S,23.9,14.7,50.0,None,21.6,6.1,0.0,SSE,15.0,-2.1,11.0
2021-01-04,69,S,17.6,11.6,52.0,WSW,19.7,7.3,24.0,N,14.7,0.1,31.0
2021-01-05,83,SSE,18.2,11.9,50.0,NW,22.5,10.8,50.0,W,10.7,7.1,50.0
2021-01-06,77,SSE,19.1,9.5,52.0,WNW,14.4,8.1,46.0,WNW,12.6,7.9,46.0
2021-01-07,85,SSE,22.5,10.7,46.0,WNW,13.4,6.7,37.0,WSW,15.8,7.7,33.0
2021-01-08,97,SE,26.3,11.1,44.0,W,13.2,6.1,22.0,SW,16.9,2.2,20.0
2021-01-09,108,SE,31.0,9.9,41.0,SSW,20.0,6.9,19.0,NW,17.9,2.2,13.0
2021-01-10,110,ESE,35.9,13.1,31.0,E,14.6,8.7,31.0,NNE,18.3,4.7,20.0
2021-01-11,109,N,33.6,19.1,69.0,E,18.8,6.7,33.0,N,21.2,7.4,39.0
2021-01-12,87,S,23.4,14.0,46.0,E,24.2,10.4,20.0,NNW,19.4,7.7,30.0
2021-01-13,96,WNW,30.4,4.6,59.0,NNE,25.7,15.9,28.0,WNW,14.9,6.1,57.0
2021-01-14,82,SSW,21.4,9.9,37.0,N,28.5,17.8,31.0,W,12.6,3.8,30.0
2021-01-15,92,W,16.3,4.9,65.0,N,31.0,20.6,30.0,WSW,15.0,1.6,17.0
2021-01-16,67,WSW,17.0,8.3,52.0,E,20.5,10.8,39.0,N,14.8,1.5,28.0
2021-01-17,90,SSW,20.3,5.7,39.0,E,25.4,11.8,31.0,SSW,14.9,3.2,15.0
2021-01-18,72,SW,21.0,9.8,46.0,SW,14.3,9.4,33.0,S,16.0,1.5,17.0
2021-01-19,81,SSE,18.8,8.9,52.0,SE,16.6,6.9,22.0,N,16.4,0.3,11.0
2021-01-20,94,SE,26.2,8.7,54.0,ESE,18.0,7.6,28.0,NNE,17.2,1.1,19.0
2021-01-21,113,SE,31.2,12.0,39.0,N,19.8,9.1,17.0,SW,18.9,1.2,13.0
